Promedio esperado: 0.01708, Promedio obtenido: 0.01708
Entrada: 0.003194, Resultado esperado: 0.187003, Resultado: 0.187003
Entrada: 0.009582, Resultado esperado: 0.561008, Resultado: 0.561008
Entrada: 0.006388, Resultado esperado: 0.374005, Resultado: 0.374005
Entrada: 0.01597, Resultado esperado: 0.935013, Resultado: 0.935013
Entrada: 0.022357, Resultado esperado: 1.30896, Resultado: 1.30896
Entrada: 0.012776, Resultado esperado: 0.74801, Resultado: 0.74801
Entrada: 0.006388, Resultado esperado: 0.374005, Resultado: 0.374005
Entrada: 0.006388, Resultado esperado: 0.374005, Resultado: 0.374005
Entrada: 0.006388, Resultado esperado: 0.374005, Resultado: 0.374005
Entrada: 0.022357, Resultado esperado: 1.30896, Resultado: 1.30896
Entrada: 0.012776, Resultado esperado: 0.74801, Resultado: 0.74801
Entrada: 0.009582, Resultado esperado: 0.561008, Resultado: 0.561008
Entrada: 0.025551, Resultado esperado: 1.49596, Resultado: 1.49596
Entrada: 0.012776, Resultado esperado: 0.74801, Resultado: 0.74801
Entrada: 0.003194, Resultado esperado: 0.187003, Resultado: 0.187003
Entrada: 0.003194, Resultado esperado: 0.187003, Resultado: 0.187003
Entrada: 0.038327, Resultado esperado: 2.24397, Resultado: 2.24397
Entrada: 0.035133, Resultado esperado: 2.05697, Resultado: 2.05697
Entrada: 0.009582, Resultado esperado: 0.561008, Resultado: 0.561008
Entrada: 0.025551, Resultado esperado: 1.49596, Resultado: 1.49596
Entrada: 0.041521, Resultado esperado: 2.43097, Resultado: 2.43097
Entrada: 0.028745, Resultado esperado: 1.68296, Resultado: 1.68296
Entrada: 0.022357, Resultado esperado: 1.30896, Resultado: 1.30896
Entrada: 0.028745, Resultado esperado: 1.68296, Resultado: 1.68296
Entrada: 0.038327, Resultado esperado: 2.24397, Resultado: 2.24397
Entrada: 0, Resultado esperado: 0, Resultado: 0
Entrada: 0.006388, Resultado esperado: 0.374005, Resultado: 0.374005
Entrada: 0.038327, Resultado esperado: 2.24397, Resultado: 2.24397
Entrada: 0.025551, Resultado esperado: 1.49596, Resultado: 1.49596
Entrada: 0.012776, Resultado esperado: 0.74801, Resultado: 0.74801
Entrada: 0.022357, Resultado esperado: 1.30896, Resultado: 1.30896
Entrada: 0, Resultado esperado: 0, Resultado: 0
Entrada: 0.019163, Resultado esperado: 1.12196, Resultado: 1.12196
Entrada: 0.009582, Resultado esperado: 0.561008, Resultado: 0.561008
Entrada: 0.003194, Resultado esperado: 0.187003, Resultado: 0.187003
Entrada: 0.019163, Resultado esperado: 1.12196, Resultado: 1.12196
Entrada: 0.003194, Resultado esperado: 0.187003, Resultado: 0.187003
Entrada: 0.012776, Resultado esperado: 0.74801, Resultado: 0.74801
Entrada: 0.01597, Resultado esperado: 0.935013, Resultado: 0.935013
Entrada: 0.028745, Resultado esperado: 1.68296, Resultado: 1.68296
Entrada: 0.012776, Resultado esperado: 0.74801, Resultado: 0.74801
Entrada: 0.047909, Resultado esperado: 2.80498, Resultado: 2.80498
Entrada: 0.035133, Resultado esperado: 2.05697, Resultado: 2.05697
Entrada: 0.012776, Resultado esperado: 0.74801, Resultado: 0.74801
Entrada: 0.012776, Resultado esperado: 0.74801, Resultado: 0.74801
Entrada: 0.009582, Resultado esperado: 0.561008, Resultado: 0.561008
Entrada: 0.006388, Resultado esperado: 0.374005, Resultado: 0.374005
Entrada: 0.012776, Resultado esperado: 0.74801, Resultado: 0.74801
Entrada: 0.003194, Resultado esperado: 0.187003, Resultado: 0.187003
Entrada: 0.025551, Resultado esperado: 1.49596, Resultado: 1.49596
Entrada: 0.028745, Resultado esperado: 1.68296, Resultado: 1.68296
Entrada: 0.022357, Resultado esperado: 1.30896, Resultado: 1.30896
Entrada: 0.003194, Resultado esperado: 0.187003, Resultado: 0.187003
Entrada: 0.006388, Resultado esperado: 0.374005, Resultado: 0.374005
Entrada: 0.003194, Resultado esperado: 0.187003, Resultado: 0.187003
Entrada: 0.022357, Resultado esperado: 1.30896, Resultado: 1.30896
Entrada: 0.047909, Resultado esperado: 2.80498, Resultado: 2.80498
Entrada: 0.025551, Resultado esperado: 1.49596, Resultado: 1.49596
Entrada: 0.006388, Resultado esperado: 0.374005, Resultado: 0.374005
Entrada: 0.003194, Resultado esperado: 0.187003, Resultado: 0.187003
Entrada: 0.019163, Resultado esperado: 1.12196, Resultado: 1.12196
Entrada: 0.009582, Resultado esperado: 0.561008, Resultado: 0.561008
Testbench Completado con exito
The maximum depth reached by any of the 1 hls::stream() instances in the design is 0
